"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"91","CSF1","CSF1","colony stimulating factor 1","protein-coding gene","ENSG00000184371","protein_coding","chr1:109910242-109930992","41","0.94","yes","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000014599","chr3:107741048-107760469","Csf1","5","no","gene with protein product","1435"
"92","PI4K2A","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha","protein-coding gene","ENSG00000155252","protein_coding","chr10:97640686-97676434","41","0.72","no","yes","yes","2","-","no","no","no","4","no","yes","Q9BTU6","4","0.50","ENSMUSG00000025178","chr19:42090470-42122087","Pi4k2a","-1","no","gene with protein product","55361"
"93","EML2","EML2","EMAP like 2","protein-coding gene","ENSG00000125746","protein_coding","chr19:45606994-45645602","41","0.6","yes","yes","no","2","-","no","no","no","-2","no","no","O95834","3","0.51","ENSMUSG00000040811","chr7:19176421-19206482","Eml2","-2","no","gene with protein product","24139"
"94","STK17A","STK17A","serine/threonine kinase 17a","protein-coding gene","ENSG00000164543","protein_coding","chr7:43582758-43650713","41","0.57","no","yes","no","3","G2/M","no","no","no","11","yes","yes","-","-","-","-","-","-","-","-","gene with protein product","9263"
"95","HES2","HES2","hes family bHLH transcription factor 2","protein-coding gene","ENSG00000069812","protein_coding","chr1:6412418-6424670","40","2.48","yes","no","no","0","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000028940","chr4:152158867-152162469","Hes2","3","no","gene with protein product","54626"
"96","RRAD","RRAD","RRAD, Ras related glycolysis inhibitor and calcium channel regulator","protein-coding gene","ENSG00000166592","protein_coding","chr16:66921679-66925536","40","2.01","yes","yes","no","2","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000031880","chr8:104628070-104631327","Rrad","5","no","gene with protein product","6236"
"97","EDA2R","EDA2R","ectodysplasin A2 receptor","protein-coding gene","ENSG00000131080","protein_coding","chrX:66595637-66639298","40","1.86","yes","yes","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000034457","chrX:97333840-97377216","Eda2r","13","yes","gene with protein product","60401"
"98","MR1","MR1","major histocompatibility complex, class I-related","protein-coding gene","ENSG00000153029","protein_coding","chr1:181033425-181061938","40","0.91","no","yes","no","2","-","no","no","no","-7","no","yes","-","-","-","ENSMUSG00000026471","chr1:155127277-155146814","Mr1","-1","no","gene with protein product","3140"
"99","LRP1","LRP1","LDL receptor related protein 1","protein-coding gene","ENSG00000123384","protein_coding","chr12:57128483-57213361","40","0.84","yes","yes","no","0","-","no","no","no","-2","no","no","Q07954","2","0.71","ENSMUSG00000040249","chr10:127538161-127621148","Lrp1","-1","no","gene with protein product","4035"
"100","PTPRU","PTPRU","protein tyrosine phosphatase receptor type U","protein-coding gene","ENSG00000060656","protein_coding","chr1:29236516-29326813","40","0.79","no","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000028909","chr4:131768457-131838288","Ptpru","3","no","gene with protein product","10076"
"101","ZNF219","ZNF219","zinc finger protein 219","protein-coding gene","ENSG00000165804","protein_coding","chr14:21090077-21104722","40","0.77","yes","no","no","1","-","no","no","no","7","no","yes","-","-","-","ENSMUSG00000049295","chr14:52006077-52020733","Zfp219","12","yes","gene with protein product","51222"
"102","KDM4B","KDM4B","lysine demethylase 4B","protein-coding gene","ENSG00000127663","protein_coding","chr19:4969113-5153598","40","0.73","no","yes","no","3","G2/M","no","no","no","-7","no","yes","-","-","-","ENSMUSG00000024201","chr17:56326062-56402870","Kdm4b","-1","no","gene with protein product","23030"
"103","BTBD10","BTBD10","BTB domain containing 10","protein-coding gene","ENSG00000148925","protein_coding","chr11:13388008-13463297","40","0.66","yes","yes","no","1","-","no","no","no","8","yes","yes","-","-","-","ENSMUSG00000038187","chr7:113315626-113369392","Btbd10","3","no","gene with protein product","84280"
"104","DUSP14","DUSP14","dual specificity phosphatase 14","protein-coding gene","ENSG00000276023","protein_coding","chr17:37489891-37513501","40","0.66","yes","no","no","3","G1/S","no","no","no","3","no","no","-","-","-","ENSMUSG00000018648","chr11:84048041-84069261","Dusp14","5","no","gene with protein product","11072"
"105","IER5","IER5","immediate early response 5","protein-coding gene","ENSG00000162783","protein_coding","chr1:181088700-181092900","40","0.64","yes","no","no","3","G2/M","no","no","no","2","no","no","-","-","-","ENSMUSG00000056708","chr1:155096361-155099636","Ier5","4","no","gene with protein product","51278"
"106","GRN","GRN","granulin precursor","protein-coding gene","ENSG00000030582","protein_coding","chr17:44345246-44353106","40","0.54","yes","yes","no","1","-","no","no","no","-2","no","no","P28799","3","0.54","ENSMUSG00000034708","chr11:102430315-102437048","Grn","3","no","gene with protein product","2896"
"107","ACTA2","ACTA2","actin alpha 2, smooth muscle","protein-coding gene","ENSG00000107796","protein_coding","chr10:88935074-88991339","39","1.98","yes","yes","no","2","-","no","no","no","-3","no","yes","-","-","-","ENSMUSG00000035783","chr19:34241090-34255590","Acta2","-6","no","gene with protein product","59"
"108","VWCE","VWCE","von Willebrand factor C and EGF domains","protein-coding gene","ENSG00000167992","protein_coding","chr11:61258286-61295316","39","1.47","yes","no","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000043789","chr19:10634213-10666213","Vwce","4","no","gene with protein product","220001"
"109","SUGCT","SUGCT","succinyl-CoA:glutarate-CoA transferase","protein-coding gene","ENSG00000175600","protein_coding","chr7:40135005-40860763","39","1.29","yes","no","no","1","-","no","no","no","4","no","no","-","-","-","ENSMUSG00000055137","chr13:16857472-17695553","Sugct","0","no","gene with protein product","79783"
"110","RPL23AP82","RPL23AP82","ribosomal protein L23a pseudogene 82","pseudogene","ENSG00000184319","transcribed_unprocessed_pseudogene","chr22:50756948-50801309","39","0.88","yes","no","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","pseudogene","284942"
"111","ITGA3","ITGA3","integrin subunit alpha 3","protein-coding gene","ENSG00000005884","protein_coding","chr17:50055968-50090481","39","0.69","yes","yes","no","2","-","no","no","no","2","no","no","P26006","5","0.69","ENSMUSG00000001507","chr11:95044474-95076801","Itga3","5","no","gene with protein product","3675"
"112","CERS5","CERS5","ceramide synthase 5","protein-coding gene","ENSG00000139624","protein_coding","chr12:50129289-50167533","39","0.59","no","yes","no","2","-","no","no","no","-3","no","yes","-","-","-","ENSMUSG00000023021","chr15:99734881-99772885","Cers5","3","no","gene with protein product","91012"
"113","BCL2L1","BCL2L1","BCL2 like 1","protein-coding gene","ENSG00000171552","protein_coding","chr20:31664452-31723989","39","0.56","no","yes","no","0","-","no","no","no","0","no","no","Q07817","5","0.77","ENSMUSG00000007659","chr2:152780668-152831728","Bcl2l1","7","no","gene with protein product","598"
"114","RAP2B","RAP2B","RAP2B, member of RAS oncogene family","protein-coding gene","ENSG00000181467","protein_coding","chr3:153162226-153170627","39","0.54","yes","yes","no","3","G2/M","no","no","no","3","no","yes","P61225","5","0.70","ENSMUSG00000036894","chr3:61361638-61368430","Rap2b","11","yes","gene with protein product","5912"
"115","DDR1","DDR1","discoidin domain receptor tyrosine kinase 1","protein-coding gene","ENSG00000204580","protein_coding","chr6:30876421-30900156","39","0.54","yes","yes","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000003534","chr17:35681567-35704621","Ddr1","9","yes","gene with protein product","780"
"116","S100A6","S100A6","S100 calcium binding protein A6","protein-coding gene","ENSG00000197956","protein_coding","chr1:153534599-153536244","39","0.5","no","yes","no","1","-","no","no","no","-4","no","yes","P06703","3","0.59","ENSMUSG00000001025","chr3:90612882-90624181","S100a6","2","no","gene with protein product","6277"
"117","UNC5B-AS1","UNC5B-AS1","UNC5B antisense RNA 1","non-coding RNA","ENSG00000237512","lncRNA","chr10:71217224-71218228","38","3.4","yes","yes","no","2","-","no","no","no","1","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","728978"
"118","CDC42BPG","CDC42BPG","CDC42 binding protein kinase gamma","protein-coding gene","ENSG00000171219","protein_coding","chr11:64823052-64844653","38","1.14","yes","no","no","1","-","no","no","no","-4","no","yes","Q6DT37","4","1.14","ENSMUSG00000024769","chr19:6306456-6325652","Cdc42bpg","14","yes","gene with protein product","55561"
"119","MAMDC4","MAMDC4","MAM domain containing 4","protein-coding gene","ENSG00000177943","protein_coding","chr9:136850943-136860799","38","1.05","yes","no","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000026941","chr2:25563115-25574845","Mamdc4","0","no","gene with protein product","158056"
"120","PANK1","PANK1","pantothenate kinase 1","protein-coding gene","ENSG00000152782","protein_coding","chr10:89579497-89645572","38","0.87","yes","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000033610","chr19:34806940-34879455","Pank1","-6","no","gene with protein product","53354"
"121","TGFA","TGFA","transforming growth factor alpha","protein-coding gene","ENSG00000163235","protein_coding","chr2:70447284-70554193","38","0.79","no","yes","no","4","UNCLEAR","no","no","no","7","no","yes","-","-","-","ENSMUSG00000029999","chr6:86195223-86275719","Tgfa","7","no","gene with protein product","7039"
"122","MCC","MCC","MCC regulator of Wnt signaling pathway","protein-coding gene","ENSG00000171444","protein_coding","chr5:113022099-113488823","38","0.74","yes","yes","no","1","-","no","no","no","5","no","yes","P23508","3","0.63","ENSMUSG00000071856","chr18:44425060-44812182","Mcc","0","no","gene with protein product","4163"
"123","SDC1","SDC1","syndecan 1","protein-coding gene","ENSG00000115884","protein_coding","chr2:20200797-20225433","38","0.71","no","yes","no","6","G1/S","no","no","no","11","yes","yes","P18827","1","-0.07","ENSMUSG00000020592","chr12:8771323-8793715","Sdc1","9","yes","gene with protein product","6382"
"124","TSKU","TSKU","tsukushi, small leucine rich proteoglycan","protein-coding gene","ENSG00000182704","protein_coding","chr11:76782251-76798153","38","0.61","yes","yes","no","3","G1/S","no","no","no","3","no","yes","-","-","-","ENSMUSG00000049580","chr7:98350668-98361328","Tsku","6","yes","gene with protein product","25987"
"125","CPEB4","CPEB4","cytoplasmic polyadenylation element binding protein 4","protein-coding gene","ENSG00000113742","protein_coding","chr5:173888349-173961980","38","0.55","no","yes","no","2","-","no","no","no","-1","no","no","Q17RY0","2","0.73","ENSMUSG00000020300","chr11:31872211-31935634","Cpeb4","3","no","gene with protein product","80315"
"126","PNPO","PNPO","pyridoxamine 5'-phosphate oxidase","protein-coding gene","ENSG00000108439","protein_coding","chr17:47941506-47949308","38","0.51","yes","no","no","1","-","no","no","no","4","no","no","Q9NVS9","4","0.39","ENSMUSG00000018659","chr11:96937825-96943986","Pnpo","1","no","gene with protein product","55163"
"127","CFLAR","CFLAR","CASP8 and FADD like apoptosis regulator","protein-coding gene","ENSG00000003402","protein_coding","chr2:201116154-201176687","38","0.5","yes","yes","no","3","G2/M","yes","no","no","4","no","yes","-","-","-","ENSMUSG00000026031","chr1:58711508-58758884","Cflar","4","no","gene with protein product","8837"
"128","SERPINE1","SERPINE1","serpin family E member 1","protein-coding gene","ENSG00000106366","protein_coding","chr7:101127104-101139247","37","1.37","yes","yes","no","2","-","no","no","no","4","no","yes","P05121","3","1.45","ENSMUSG00000037411","chr5:137061504-137072268","Serpine1","0","no","gene with protein product","5054"
"129","ZNF561-AS1","ZNF561-AS1","ZNF561 antisense RNA 1","non-coding RNA","ENSG00000267106","lncRNA","chr19:9621249-9647203","37","1.03","yes","yes","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, long non-coding","284385"
"130","SYTL1","SYTL1","synaptotagmin like 1","protein-coding gene","ENSG00000142765","protein_coding","chr1:27342020-27353937","37","0.91","yes","yes","no","2","-","no","no","no","-1","no","no","Q8IYJ3","2","0.86","ENSMUSG00000028860","chr4:133253090-133263113","Sytl1","15","yes","gene with protein product","84958"
"131","SEMA3B","SEMA3B","semaphorin 3B","protein-coding gene","ENSG00000012171","protein_coding","chr3:50267558-50277546","37","0.85","yes","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000057969","chr9:107597674-107609229","Sema3b","0","no","gene with protein product","7869"
"132","CPEB2","CPEB2","cytoplasmic polyadenylation element binding protein 2","protein-coding gene","ENSG00000137449","protein_coding","chr4:15002481-15070153","37","0.65","yes","no","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000039782","chr5:43233170-43289724","Cpeb2","5","yes","gene with protein product","132864"
"133","NDUFAF8","NDUFAF8","NADH:ubiquinone oxidoreductase complex assembly factor 8","protein-coding gene","ENSG00000224877","protein_coding","chr17:81239305-81241310","37","0.64","yes","yes","no","2","-","no","no","no","-1","no","no","A1L188","0","0.16","ENSMUSG00000078572","chr11:120098928-120100705","1810043H04Rik","0","no","gene with protein product","284184"
"134","OSBPL3","OSBPL3","oxysterol binding protein like 3","protein-coding gene","ENSG00000070882","protein_coding","chr7:24796540-24981634","37","0.59","yes","yes","no","3","G2/M","no","no","no","2","no","no","Q9H4L5","4","0.52","ENSMUSG00000029822","chr6:50293330-50456201","Osbpl3","1","no","gene with protein product","26031"
"135","NABP1","NABP1","nucleic acid binding protein 1","protein-coding gene","ENSG00000173559","protein_coding","chr2:191678068-191741097","37","0.58","no","yes","no","2","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000026107","chr1:51465862-51478425","Nabp1","5","yes","gene with protein product","64859"
"136","AMZ2","AMZ2","archaelysin family metallopeptidase 2","protein-coding gene","ENSG00000196704","protein_coding","chr17:68206076-68257712","37","0.48","yes","no","no","2","-","no","no","no","3","no","no","-","-","-","ENSMUSG00000020610","chr11:109425946-109452813","Amz2","-2","no","gene with protein product","51321"
"137","GAA","GAA","alpha glucosidase","protein-coding gene","ENSG00000171298","protein_coding","chr17:80101556-80119881","37","0.44","yes","no","no","2","-","no","no","no","-5","no","yes","P10253","4","0.46","ENSMUSG00000025579","chr11:119267887-119285454","Gaa","4","no","gene with protein product","2548"
"138","ZFP90","ZFP90","ZFP90 zinc finger protein","protein-coding gene","ENSG00000184939","protein_coding","chr16:68530090-68576072","37","0.44","no","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000031907","chr8:106415327-106426598","Zfp90","-4","no","gene with protein product","146198"
"139","GRHL3","GRHL3","grainyhead like transcription factor 3","protein-coding gene","ENSG00000158055","protein_coding","chr1:24319357-24364482","36","2.52","yes","no","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000037188","chr4:135541888-135573630","Grhl3","11","yes","gene with protein product","57822"
"140","FAM13C","FAM13C","family with sequence similarity 13 member C","protein-coding gene","ENSG00000148541","protein_coding","chr10:59246130-59363181","36","2.17","yes","yes","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000043259","chr10:70440481-70558736","Fam13c","0","no","gene with protein product","220965"
